"Shot ID","Movement","Time In","Time Out","Duration","Shot / Visual","Audio / Lyric Purpose","Visual Direction","Asset Status","Asset / Character Match","Continuity / Story Note","Review Status","Owner","Director Notes"
"YS-OP-020","III","158","169.42857142857142","11.428571428571429","Prime Spock receives the archaeological team’s official field report beside the fossilized delta.","Vocal passage resumes over restrained communications noise.","Over-shoulder ship interior; field team on main screen.","FOUND/ROUGH","Field report; Spock; fossil delta","Mystery becomes an official investigation","In Review","TBD","Filmation-style canonical rough exists on Opera page."
"YS-OP-021","III","169.42857142857142","180.85714285714283","11.428571428571429","A recovered component produces contradictory age curves: ancient material reversing toward newness.","Analytical pulse; quiet temporal distortion.","Macro scanner insert; reflected eyes.","FOUND/ROUGH","Reverse-aging component; scanner","Script evidence: parts are aging backward","In Review","TBD","Filmation-style canonical rough exists on Opera page."
"YS-OP-022","III","180.85714285714283","192.28571428571425","11.428571428571429","Prime and Mirror Spock examine matching evidence at the same instant.","Parallel phrase / synchronized musical accent.","Blue/red symmetrical split screen.","FOUND/ROUGH","Prime Spock; Mirror Spock; delta","First explicit two-universe temporal echo","In Review","TBD","Filmation-style canonical rough exists on Opera page."
"YS-OP-023","III","192.28571428571425","203.71428571428567","11.428571428571429","A communications disturbance briefly forms the incomplete image of a young Vulcan man.","Music thins; half-heard temporal carrier.","Zar remains translucent and unidentified.","FOUND/ROUGH","Spock; Zar temporal echo","Recognition before comprehension; no name yet","In Review","TBD","Filmation-style canonical rough exists on Opera page."
"YS-OP-024","III","203.71428571428567","215.14285714285708","11.428571428571429","Ancient stone delta overlays Sarpeidon’s cultural development maps.","Percussive data rhythm.","Graphic documentary collage.","FOUND/ROUGH","Delta; maps","Shows contamination risk","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-025","III","215.14285714285708","226.5714285714285","11.428571428571429","Spock recognizes technology arriving before its time.","Rising tension.","Close-up to impossible schematics.","FOUND/ROUGH","Spock; schematics","Cause/effect discovery","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-026","III","226.5714285714285","237.99999999999991","11.428571428571429","The Guardian’s ring flickers across three possible skies.","Instrumental bridge opens.","Triptych composition.","FOUND/ROUGH","Guardian; three universes","Launch the central movement","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
"YS-OP-027","IV","238","246.36363636363637","8.363636363636363","Prime universe: Spock investigates alone under cold starlight.","Instrumental theme A.","Blue Filmation-style landscape.","FOUND/ROUGH","Spock-alone assets","Prime emotional lane","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-028","IV","246.36363636363637","254.72727272727275","8.363636363636363","Mirror universe: command imagery turns red and ceremonial.","Instrumental theme mutates.","High contrast red/purple graphic panels.","FOUND/ROUGH","Mirror Spock","Avoid moustache-only shorthand","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-029","IV","254.72727272727275","263.0909090909091","8.363636363636363","Third universe: mechanical geometry crawls over a Spock silhouette.","First synthetic phonemes.","Green-black shapes; face withheld.","FOUND/ROUGH","Borg silhouette","Hint only","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
"YS-OP-030","IV","263.0909090909091","271.4545454545455","8.363636363636363","Three Spocks rotate around the fossilized delta evidence.","Rhythmic montage.","Triptych orbit; delta as fixed point.","FOUND/ROUGH","Prime/Mirror/Borg; delta","Universes share one anomaly","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-031","IV","271.4545454545455","279.81818181818187","8.363636363636363","Borg circuitry briefly matches the fossil’s mineral pathways.","Techno voice becomes intelligible.","Macro match cut: stone veins to circuitry.","FOUND/ROUGH","Stone; Borg tech","Suggest contamination across ages","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-032","IV","279.81818181818187","288.18181818181824","8.363636363636363","One artificial green eye activates in darkness.","Borg-treated voice sings one chorus word.","Extreme close-up; one beat only.","FOUND/ROUGH","Borg Spock eye","First unmistakable reveal","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
"YS-OP-033","IV","288.18181818181824","296.5454545454546","8.363636363636363","Prime Spock hears the voice through the tablet transmission.","Original lead and synthetic layer overlap.","Tablet waveform reflected on face.","FOUND/ROUGH","Spock; tablet","Borg voice is diegetic and musical","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-034","IV","296.5454545454546","304.909090909091","8.363636363636363","Mirror Spock answers with silent recognition across a panel divide.","Chorus continues.","Red/blue split-screen.","FOUND/ROUGH","Prime and Mirror Spock","No dialogue","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-035","IV","304.909090909091","313.27272727272737","8.363636363636363","Borg Spock emerges half-seen, integrated rather than monstrous.","Synthetic chorus line becomes complete.","Filmation-meets-techno graphic portrait.","FOUND/ROUGH","Borg Spock","Tragic alternate self","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
"YS-OP-036","IV","313.27272727272737","321.63636363636374","8.363636363636363","The three voices/images converge, then violently desynchronize.","Instrumental climax.","Panel collapse; white interference.","FOUND/ROUGH","Three Spocks","Exit the bridge","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-037","IV","321.63636363636374","330.0000000000001","8.363636363636363","Guardian image stabilizes while all three universes remain visible within it.","Music pivots toward second vocal part.","Cyan portal containing red/green/blue echoes.","FOUND/ROUGH","Guardian","Choice becomes possible","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-038","V","330","337.42857142857144","7.428571428571429","Vulcan architecture restores formal order after the fracture.","Second vocal section begins.","Gold geometry; still frame with slow move.","FOUND/ROUGH","Vulcan","Duty lane","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
"YS-OP-039","V","337.42857142857144","344.8571428571429","7.428571428571429","Sarek’s presence is suggested through posture, architecture, and expectation.","Lyric about Vulcan identity.","Distant formal silhouette.","FOUND/ROUGH","Sarek / Vulcan hall","Keep focus on Spock","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-040","V","344.8571428571429","352.28571428571433","7.428571428571429","Amanda Grayson appears as a warm memory within Vulcan geometry.","‘Human heart’ passage.","Amber-orange-olive; soft dissolve.","FOUND/ROUGH","YS-CHR-AMANDA-001","Replace pumping-heart image","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-041","V","352.28571428571433","359.7142857142858","7.428571428571429","Close portrait: Amanda sees the loneliness beneath Spock’s control.","Vocal phrase breathes.","Quiet gaze; no saintly glow.","FOUND/ROUGH","Amanda master reference","Compassion is not weakness","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
"YS-OP-042","V","359.7142857142858","367.1428571428572","7.428571428571429","Amanda with young Spock: a restrained hand at his shoulder.","Humanity motif.","Intimate memory; minimal gesture.","FOUND/ROUGH","Amanda; young Spock","No overt embrace required","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-043","V","367.1428571428572","374.57142857142867","7.428571428571429","Adult Spock stands between Amanda’s warmth and Vulcan’s severe horizon.","Lead voice gathers strength.","Balanced split palette.","FOUND/ROUGH","Spock; Amanda; Vulcan","Both inheritances, neither rejected","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-044","V","374.57142857142867","382.0000000000001","7.428571428571429","Amanda fades; her amber color remains on Spock’s face for one beat.","End of phrase.","Color memory, not ghost imagery.","FOUND/ROUGH","Spock close-up","Emotional compass persists","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
"YS-OP-045","VI","382","390.8","8.8","Spock assembles tablet, fossil data, and Guardian coordinates into one conclusion.","Decision motif.","Calm montage; reduced cutting rate.","FOUND/ROUGH","Tablet; delta; Guardian","Logic and compassion agree","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-046","VI","390.8","399.6","8.8","He records a final message without stating his destination.","Quiet vocal or instrumental hold.","Profile at comms; restrained.","FOUND/ROUGH","Existing Spock-at-comms assets","Message may remain unheard","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-047","VI","399.6","408.40000000000003","8.8","Survey ship turns toward the forbidden world.","Music rises.","Exterior course change; long elegant move.","FOUND/ROUGH","Spacecraft assets","No battle imagery","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
"YS-OP-048","VI","408.40000000000003","417.20000000000005","8.8","The City on the Edge of Forever emerges from darkness.","Guardian theme returns.","Monumental scale; cyan light.","FOUND/ROUGH","Guardian / ruins","Forbidden threshold","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-049","VI","417.20000000000005","426.00000000000006","8.8","Spock approaches alone carrying the tablet and stone sample.","Final vocal statement.","Rear three-quarter silhouette.","FOUND/ROUGH","Spock; Guardian","Echo opening back-of-head composition","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-050","VII","426","432.82004175","6.8200417500000015","The Guardian displays Zarabeth, Zar, Amanda, and fractured Spocks in succession.","Final chorus / unresolved overlap.","Memory faces in portal surface.","FOUND/ROUGH","Guardian; characters","Fast but legible succession","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
"YS-OP-051","VII","432.82004175","439.64008349999995","6.8200417500000015","Borg voice returns beneath the final line—not dominant, but present.","Synthetic chorus layer.","Brief green interference at frame edges.","FOUND/ROUGH","Borg signal","The alternate timeline survives","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 1 of its three-panel asset."
"YS-OP-052","VII","439.64008349999995","446.4601252499999","6.8200417500000015","Spock steps into the Guardian; white consumes the frame.","Track reaches abrupt endpoint.","Silhouette dissolves into white.","FOUND/ROUGH","Spock; Guardian","Use cutoff as dramatic punctuation","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 2 of its three-panel asset."
"YS-OP-053","VII","446.4601252499999","453.2801669999999","6.8200417500000015","White collapses to black; a final corrupted carrier pulse remains.","Silence or optional borrowed robot fragment.","Black frame; one green pixel extinguishes.","FOUND/ROUGH","Audio/graphic end card","Editable if Suno ending is repaired","In Review","TBD","Storyboard contact-sheet rough exists; shot is panel 3 of its three-panel asset."
